34200.004241176,1,16113575,18,5853300,2,5859400,200,5853300,18
34200.025551909,1,16120456,18,5859100,-1,5859100,18,5853300,18
34200.201743336,3,16120456,18,5859100,-1,5859200,18,5853300,18
34200.201780978,3,16120480,18,5859200,-1,5859300,100,5853300,18
34200.205573445,1,16167159,18,5853600,1,5859300,100,5853600,18
34200.271739507,1,3647217,20,5857300,1,5859300,100,5857300,20
34200.271739507,1,5740544,40,5857400,-1,5857400,40,5857300,20
34200.275016159,4,5740544,40,5857400,-1,5857500,82,5857300,20
34200.275016159,4,3570647,25,5857500,-1,5857500,57,5857300,20
34200.275057494,4,3647217,1,5857300,1,5857500,57,5857300,19
34200.275063291,4,3647217,10,5857300,1,5857500,57,5857300,9
34200.275072491,4,3570647,25,5857500,-1,5857500,32,5857300,9
34200.275072491,4,3647221,5,5857500,-1,5857500,27,5857300,9
34200.275072491,4,3647222,7,5857500,-1,5857500,20,5857300,9
34200.275072491,4,5230851,20,5857500,-1,5857800,45,5857300,9
34200.275072491,4,1373927,25,5857800,-1,5857800,20,5857300,9
34200.275072491,4,1601225,20,5857800,-1,5858000,4,5857300,9
34200.275072491,5,0,100,5857900,-1,5858000,4,5857300,9
34200.275072491,4,2606421,4,5858000,-1,5858200,5,5857300,9
34200.275072491,4,1364835,5,5858200,-1,5858300,7,5857300,9
34200.275072491,4,7277867,7,5858300,-1,5859300,100,5857300,9
34200.275072491,5,0,3,5859000,-1,5859300,100,5857300,9
34200.275072491,5,0,200,5859000,-1,5859300,100,5857300,9
34200.275072491,5,0,1,5859100,-1,5859300,100,5857300,9
34200.275072491,5,0,1,5859200,-1,5859300,100,5857300,9
34200.275072491,5,0,300,5859200,-1,5859300,100,5857300,9
34200.275072491,4,16166035,37,5859300,-1,5859300,63,5857300,9
34200.275123235,1,16182649,50,5857400,1,5859300,63,5857400,50
34200.280395890,1,16183794,18,5857700,1,5859300,63,5857700,18
34200.347390612,1,16196199,100,5859300,-1,5859300,163,5857700,18
34200.358687488,4,16166035,4,5859300,-1,5859300,159,5857700,18
34200.417746832,4,16183794,18,5857700,1,5859300,159,5857300,9
34200.417746832,4,3647217,9,5857300,1,5859300,159,5857000,150
34200.417746832,5,0,23,5857200,1,5859300,159,5857000,150
34200.418943908,5,0,77,5857200,1,5859300,159,5857000,150
34200.418943908,4,2109823,23,5857000,1,5859300,159,5857000,127
34200.419089711,1,16211220,18,5859200,-1,5859200,18,5857000,127
34200.459503459,3,16186225,100,5857000,1,5859200,18,5857000,27
34200.610751386,3,16211220,18,5859200,-1,5859300,59,5857000,27
34200.701389248,1,16265573,100,5858700,-1,5858700,100,5857000,27
34200.763059946,4,2109823,1,5857000,1,5858700,100,5857000,26
34200.833761339,1,16284218,100,5857000,1,5858700,100,5857000,126
